run_uuid,key,step,value,timestamp
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1734,0.072,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1735,0.056,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1736,0.077,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1737,0.159,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1738,0.045,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1739,0.054,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1740,0.071,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1741,0.057,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1742,0.04,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1743,0.045,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1744,0.055,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1745,0.069,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1746,0.055,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1747,0.072,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1748,0.057,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1749,0.057,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1750,0.058,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1751,0.054,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1752,0.045,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1753,0.036,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/gnorm,1754,0.051,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/loss,1726,1.573,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/loss,1727,1.573,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/loss,1728,1.573,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/loss,1729,1.572,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/loss,1730,1.573,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/loss,1731,1.572,1771027212276
a27a9395759041689d2a58d7b8ce9c90,train/loss,1732,1.573,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/loss,1733,1.574,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/loss,1734,1.573,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/loss,1735,1.572,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/loss,1736,1.572,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/loss,1737,1.573,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/loss,1738,1.572,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/loss,1739,1.572,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/loss,1740,1.572,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/loss,1741,1.572,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/loss,1742,1.572,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/loss,1743,1.572,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/loss,1744,1.572,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/loss,1745,1.572,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/loss,1746,1.572,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/loss,1747,1.572,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/loss,1748,1.572,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/loss,1749,1.572,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/loss,1750,1.572,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/loss,1751,1.572,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/loss,1752,1.572,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/loss,1753,1.572,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/loss,1754,1.572,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/lr,1726,0.00021580685000000005,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/lr,1727,0.00021593182500000003,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/lr,1728,0.00021605680000000004,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/lr,1729,0.00021618177500000004,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/lr,1730,0.00021630675000000002,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/lr,1731,0.00021643172500000003,1771027212276
a27a9395759041689d2a58d7b8ce9c90,train/lr,1732,0.00021655670000000004,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/lr,1733,0.00021668167500000005,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/lr,1734,0.00021680665000000003,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/lr,1735,0.00021693162500000004,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/lr,1736,0.00021705660000000005,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/lr,1737,0.00021718157500000003,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/lr,1738,0.00021730655000000003,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/lr,1739,0.00021743152500000004,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/lr,1740,0.00021755650000000002,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/lr,1741,0.00021768147500000003,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/lr,1742,0.00021780645000000004,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/lr,1743,0.00021793142500000005,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/lr,1744,0.00021805640000000003,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/lr,1745,0.00021818137500000004,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/lr,1746,0.00021830635000000004,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/lr,1747,0.00021843132500000003,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/lr,1748,0.00021855630000000003,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/lr,1749,0.00021868127500000004,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/lr,1750,0.00021880625000000002,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/lr,1751,0.00021893122500000003,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/lr,1752,0.00021905620000000004,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/lr,1753,0.00021918117500000005,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/lr,1754,0.00021930615000000003,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1726,0.152,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1727,0.147,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1728,0.151,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1729,0.156,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1730,0.168,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1731,0.154,1771027212276
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1732,0.17,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1733,0.134,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1734,0.138,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1735,0.143,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1736,0.154,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1737,0.174,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1738,0.156,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1739,0.148,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1740,0.145,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1741,0.152,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1742,0.151,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1743,0.154,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1744,0.157,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1745,0.161,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1746,0.151,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1747,0.144,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1748,0.15,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1749,0.151,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1750,0.157,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1751,0.159,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1752,0.154,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1753,0.153,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/nll_loss,1754,0.15,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1726,1.11,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1727,1.11,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1728,1.11,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1729,1.11,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1730,1.12,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1731,1.11,1771027212276
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1732,1.12,1771027218491
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1733,1.1,1771027224841
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1734,1.1,1771027232958
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1735,1.1,1771027239829
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1736,1.11,1771027245867
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1737,1.13,1771027251824
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1738,1.11,1771027257832
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1739,1.11,1771027264285
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1740,1.11,1771027270208
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1741,1.11,1771027276492
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1742,1.11,1771027282680
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1743,1.11,1771027288773
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1744,1.12,1771027294805
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1745,1.12,1771027300988
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1746,1.11,1771027307215
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1747,1.11,1771027313374
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1748,1.11,1771027319330
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1749,1.11,1771027325444
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1750,1.11,1771027331543
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1751,1.12,1771027337556
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1752,1.11,1771027343586
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1753,1.11,1771027349293
a27a9395759041689d2a58d7b8ce9c90,train/ppl,1754,1.11,1771027355387
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1726,1.0,1771027182409
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1727,0.0,1771027188415
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1728,0.0,1771027194390
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1729,0.0,1771027200226
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1730,0.0,1771027206214
a27a9395759041689d2a58d7b8ce9c90,train/train_wall,1731,0.0,1771027212276
